area,village,landing_site,longitude,latitude
Zanzibar,Wete,Wete,39.05,-5.08
Zanzibar,Nungwi,Nungwi,42.87,-7
Mainland,Halmashauri,Deep Sea,39.3,-4.87
Mainland,Jimbiza,Jimbiza,39.5204476,-8.928054344
Mainland,Shangani East,Feri,40.25,-10.18
Mainland,Other,Other,40,-5.66
Mainland,Kunduchi Pwani,Kunduchi,35.44,-6.66
Mainland,Bweni,Bweni Bandarini,42.56,-6.76
Mainland,Magengeni,Magengeni,39.62,-9.06
Mainland,Tumbuju,Kilwalodi,39.6580095,-7.910993087
